# Force βfλ, Rxy^2
4.5124e+00,    1.6915e-01
4.5542e+00,    1.6784e-01
4.5964e+00,    1.6654e-01
4.6389e+00,    1.6525e-01
4.6819e+00,    1.6396e-01
4.7252e+00,    1.6269e-01
4.7690e+00,    1.6142e-01
4.8131e+00,    1.6017e-01
4.8577e+00,    1.5892e-01
4.9027e+00,    1.5767e-01
4.9480e+00,    1.5644e-01
4.9939e+00,    1.5522e-01
5.0401e+00,    1.5400e-01
5.0868e+00,    1.5279e-01
5.1339e+00,    1.5159e-01
5.1814e+00,    1.5040e-01
5.2294e+00,    1.4922e-01
5.2778e+00,    1.4804e-01
5.3266e+00,    1.4688e-01
5.3760e+00,    1.4572e-01
5.4257e+00,    1.4457e-01
5.4760e+00,    1.4342e-01
5.5267e+00,    1.4229e-01
5.5778e+00,    1.4116e-01
5.6295e+00,    1.4004e-01
5.6816e+00,    1.3893e-01
5.7342e+00,    1.3783e-01
5.7873e+00,    1.3673e-01
5.8409e+00,    1.3564e-01
5.8950e+00,    1.3456e-01
5.9495e+00,    1.3349e-01
6.0046e+00,    1.3242e-01
6.0602e+00,    1.3136e-01
6.1163e+00,    1.3031e-01
6.1730e+00,    1.2927e-01
6.2301e+00,    1.2823e-01
6.2878e+00,    1.2721e-01
6.3460e+00,    1.2619e-01
6.4048e+00,    1.2517e-01
6.4641e+00,    1.2417e-01
6.5239e+00,    1.2317e-01
6.5843e+00,    1.2218e-01
6.6453e+00,    1.2119e-01
6.7068e+00,    1.2021e-01
6.7689e+00,    1.1924e-01
6.8316e+00,    1.1828e-01
6.8948e+00,    1.1732e-01
6.9587e+00,    1.1638e-01
7.0231e+00,    1.1543e-01
7.0881e+00,    1.1450e-01
7.1538e+00,    1.1357e-01
7.2200e+00,    1.1265e-01
7.2868e+00,    1.1173e-01
7.3543e+00,    1.1083e-01
7.4224e+00,    1.0992e-01
7.4911e+00,    1.0903e-01
7.5605e+00,    1.0814e-01
7.6305e+00,    1.0726e-01
7.7011e+00,    1.0639e-01
7.7724e+00,    1.0552e-01
7.8444e+00,    1.0465e-01
7.9170e+00,    1.0380e-01
7.9903e+00,    1.0295e-01
8.0643e+00,    1.0211e-01
8.1390e+00,    1.0127e-01
8.2143e+00,    1.0044e-01
8.2904e+00,    9.9617e-02
8.3671e+00,    9.8800e-02
8.4446e+00,    9.7988e-02
8.5228e+00,    9.7183e-02
8.6017e+00,    9.6384e-02
8.6813e+00,    9.5591e-02
8.7617e+00,    9.4803e-02
8.8428e+00,    9.4022e-02
8.9247e+00,    9.3247e-02
9.0073e+00,    9.2478e-02
9.0907e+00,    9.1714e-02
9.1749e+00,    9.0957e-02
9.2599e+00,    9.0205e-02
9.3456e+00,    8.9459e-02
9.4321e+00,    8.8718e-02
9.5194e+00,    8.7984e-02
9.6076e+00,    8.7254e-02
9.6965e+00,    8.6531e-02
9.7863e+00,    8.5813e-02
